_H:	|batch	|epoch	$train_mode	|trial	|tick	$trial_name	$obj	$rot	$output_name	%minus_cycles	%sse	%norm_err	%cos_err	%cos_err_prv	%cos_err_vs_prv	%V1h_cos_err	%V1h_cos_err_prv	%V1h_cos_err_vs_prv	%V2h_cos_err	%V2h_cos_err_prv	%V2h_cos_err_vs_prv	%Output_act_m	%ext_rew
_D:	0	3	"TRAIN"	10	10	"4_S+T+"	"03"	"120"	""	50	50.8036	0.0434028	0.455918	0.463478	-0.0075596	0.455918	0.463478	-0.0075596	0	0	0	0.000694145	0
_D:	0	3	"TRAIN"	11	11	"4_S+T+"	"03"	"132"	""	50	45.7233	0.0399306	0.413587	0.483814	-0.0702279	0.413587	0.483814	-0.0702279	0	0	0	0.0147981	0
_D:	0	3	"TRAIN"	12	12	"4_S+T+"	"03"	"144"	""	50	51.6804	0.0503472	0.400166	0.422568	-0.0224018	0.400166	0.422568	-0.0224018	0	0	0	0.324797	0
_D:	0	3	"TRAIN"	13	13	"4_S+T+"	"03"	"156"	""	50	56.5564	0.0512153	0.370821	0.432536	-0.061715	0.370821	0.432536	-0.061715	0	0	0	0.354785	0
_D:	0	3	"TRAIN"	14	14	"4_S+T+"	"03"	"168"	""	50	53.4381	0.0503472	0.383604	0.621974	-0.23837	0.383604	0.621974	-0.23837	0	0	0	0.519854	0
_D:	0	3	"TRAIN"	15	15	"4_S+T+"	"03"	"180"	""	50	51.3509	0.0538194	0.429311	0.414328	0.0149836	0.429311	0.414328	0.0149836	0	0	0	0.596353	0
_D:	0	3	"TRAIN"	16	16	"4_S+T+"	"03"	"192"	""	50	52.0785	0.0490451	0.449581	0.374305	0.0752761	0.449581	0.374305	0.0752761	0	0	0	0.552255	0
_D:	0	3	"TRAIN"	17	17	"4_S+T+"	"03"	"204"	""	50	46.7114	0.046875	0.546881	0.456463	0.0904182	0.546881	0.456463	0.0904182	0	0	0	0.0369901	0
_D:	0	3	"TRAIN"	18	18	"4_S+T+"	"03"	"216"	""	50	42.6895	0.0442708	0.599529	0.590204	0.00932556	0.599529	0.590204	0.00932556	0	0	0	0.0216727	0
_D:	0	3	"TRAIN"	19	19	"4_S+T+"	"03"	"228"	""	50	48.1411	0.046875	0.579634	0.656894	-0.0772592	0.579634	0.656894	-0.0772592	0	0	0	0.0130455	0
_D:	0	3	"TRAIN"	20	20	"4_S+T+"	"03"	"240"	""	50	49.6915	0.0555556	0.590856	0.576856	0.0140001	0.590856	0.576856	0.0140001	0	0	0	0.0123476	0
_D:	0	3	"TRAIN"	21	21	"4_S+T+"	"03"	"252"	""	50	48.7745	0.0559896	0.59918	0.547501	0.0516789	0.59918	0.547501	0.0516789	0	0	0	0.00693385	0
_D:	0	3	"TRAIN"	22	22	"4_S+T+"	"03"	"264"	""	50	48.3024	0.0490451	0.587294	0.550936	0.0363577	0.587294	0.550936	0.0363577	0	0	0	0.0016022	0
_D:	0	3	"TRAIN"	23	23	"4_S+T+"	"03"	"276"	""	50	49.7375	0.0460069	0.565847	0.562971	0.00287628	0.565847	0.562971	0.00287628	0	0	0	0.00064189	0
_D:	0	3	"TRAIN"	24	24	"4_S+T+"	"03"	"288"	""	50	51.7822	0.047309	0.520463	0.486167	0.0342959	0.520463	0.486167	0.0342959	0	0	0	0.00144009	0
_D:	0	3	"TRAIN"	25	25	"4_S+T+"	"03"	"300"	""	50	44.3121	0.0390625	0.499428	0.480472	0.0189559	0.499428	0.480472	0.0189559	0	0	0	0.0450994	0
_D:	0	3	"TRAIN"	26	26	"4_S+T+"	"03"	"312"	""	50	41.3172	0.0334201	0.477927	0.516611	-0.0386841	0.477927	0.516611	-0.0386841	0	0	0	0.536236	0
_D:	0	3	"TRAIN"	27	27	"4_S+T+"	"03"	"324"	""	50	37.6823	0.0364583	0.518996	0.473809	0.0451878	0.518996	0.473809	0.0451878	0	0	0	0.625951	0
_D:	0	3	"TRAIN"	28	28	"4_S+T+"	"03"	"336"	""	50	45.2247	0.0442708	0.423084	0.469069	-0.0459848	0.423084	0.469069	-0.0459848	0	0	0	0.569479	0
_D:	0	3	"TRAIN"	29	29	"4_S+T+"	"03"	"348"	""	50	40.4062	0.0373264	0.445385	0.595513	-0.150128	0.445385	0.595513	-0.150128	0	0	0	0.480939	0
_D:	0	3	"TRAIN"	30	30	"4_S+T+"	"03"	"000"	""	50	38.6897	0.0373264	0.495864	0.397431	0.0984326	0.495864	0.397431	0.0984326	0	0	0	0.564458	0
_D:	0	4	"TRAIN"	1	1	"4_S+T+"	"03"	"012"	""	50	0	0	0	0	0	0.495864	0.397431	0.0984326	0	0	0	0.632655	0
_D:	0	4	"TRAIN"	2	2	"4_S+T+"	"03"	"024"	""	50	101.037	0.09375	0.262378	0.467546	-0.205168	0.262378	0.467546	-0.205168	0	0	0	0.793732	0
_D:	0	4	"TRAIN"	3	3	"4_S+T+"	"03"	"036"	""	50	107.977	0.10026	0.256439	0.536225	-0.279786	0.256439	0.536225	-0.279786	0	0	0	0.766307	0
_D:	0	4	"TRAIN"	4	4	"4_S+T+"	"03"	"048"	""	50	112.344	0.0998264	0.264632	0.614367	-0.349734	0.264632	0.614367	-0.349734	0	0	0	0.728085	0
_D:	0	4	"TRAIN"	5	5	"4_S+T+"	"03"	"060"	""	50	107.988	0.0980903	0.309615	0.533082	-0.223467	0.309615	0.533082	-0.223467	0	0	0	0.728579	0
_D:	0	4	"TRAIN"	6	6	"4_S+T+"	"03"	"072"	""	50	98.9705	0.0889757	0.3266	0.542407	-0.215807	0.3266	0.542407	-0.215807	0	0	0	0.755112	0
_D:	0	4	"TRAIN"	7	7	"4_S+T+"	"03"	"084"	""	50	102.822	0.0920139	0.299803	0.53827	-0.238467	0.299803	0.53827	-0.238467	0	0	0	0.715382	0
_D:	0	4	"TRAIN"	8	8	"4_S+T+"	"03"	"096"	""	50	105.4	0.0859375	0.253159	0.530652	-0.277492	0.253159	0.530652	-0.277492	0	0	0	0.607671	0
_D:	0	4	"TRAIN"	9	9	"4_S+T+"	"03"	"108"	""	50	47.2163	0.0334201	0.462592	0.488921	-0.026329	0.462592	0.488921	-0.026329	0	0	0	0.803237	0
_D:	0	4	"TRAIN"	10	10	"4_S+T+"	"03"	"120"	""	50	27.487	0.0247396	0.610894	0.463478	0.147416	0.610894	0.463478	0.147416	0	0	0	0.823796	0
_D:	0	4	"TRAIN"	11	11	"4_S+T+"	"03"	"132"	""	50	28.7249	0.0251736	0.557074	0.483814	0.07326	0.557074	0.483814	0.07326	0	0	0	0.799059	0
_D:	0	4	"TRAIN"	12	12	"4_S+T+"	"03"	"144"	""	50	37.9483	0.0360243	0.472932	0.422568	0.0503638	0.472932	0.422568	0.0503638	0	0	0	0.790676	0
_D:	0	4	"TRAIN"	13	13	"4_S+T+"	"03"	"156"	""	50	30.6546	0.03125	0.682881	0.432536	0.250345	0.682881	0.432536	0.250345	0	0	0	0.808088	0
_D:	0	4	"TRAIN"	14	14	"4_S+T+"	"03"	"168"	""	50	25.4697	0.0277778	0.678742	0.621974	0.0567684	0.678742	0.621974	0.0567684	0	0	0	0.771952	0
_D:	0	4	"TRAIN"	15	15	"4_S+T+"	"03"	"180"	""	50	32.2341	0.0321181	0.596955	0.414328	0.182627	0.596955	0.414328	0.182627	0	0	0	0.815087	0
_D:	0	4	"TRAIN"	16	16	"4_S+T+"	"03"	"192"	""	50	37.9188	0.0329861	0.553446	0.374305	0.179142	0.553446	0.374305	0.179142	0	0	0	0.859421	0
